time,susceptible,infected,recovered,total,deaths
0,2999,1,0,3000,0
1,2998,2,0,3000,0
2,2998,2,0,3000,0
3,2997,3,0,3000,0
4,2996,4,0,3000,0
5,2996,4,0,3000,0
6,2995,5,0,3000,0
7,2994,6,0,3000,0
8,2993,6,1,3000,0
9,2992,7,1,3000,0
10,2991,8,1,3000,0
11,2989,10,1,3000,0
12,2985,14,1,3000,0
13,2980,19,1,3000,0
14,2976,22,2,3000,0
15,2968,30,2,3000,0
16,2961,36,3,3000,0
17,2947,49,4,3000,0
18,2930,66,4,3000,0
19,2902,93,5,3000,0
20,2873,121,6,3000,0
21,2836,157,7,3000,0
22,2788,204,8,3000,0
23,2710,281,9,3000,0
24,2640,349,11,3000,0
25,2556,429,15,3000,0
26,2452,528,20,3000,0
27,2369,607,24,3000,0
28,2300,668,32,3000,0
29,2234,728,38,3000,0
30,2187,765,47,2999,1
31,2144,791,63,2998,2
32,2123,784,91,2998,2
33,2095,784,118,2997,3
34,2080,766,149,2995,5
35,2065,734,195,2994,6
36,2062,661,271,2994,6
37,2056,599,336,2991,9
38,2053,522,415,2990,10
39,2051,422,513,2986,14
40,2050,344,590,2984,16
41,2050,276,657,2983,17
42,2050,212,720,2982,18
43,2049,163,770,2982,18
44,2047,123,812,2982,18
45,2047,104,830,2981,19
46,2046,77,858,2981,19
47,2045,60,876,2981,19
48,2045,44,892,2981,19
49,2045,39,896,2980,20
50,2044,32,904,2980,20
51,2044,26,910,2980,20
52,2043,24,913,2980,20
53,2043,19,918,2980,20
54,2043,18,919,2980,20
55,2042,16,922,2980,20
56,2042,14,924,2980,20
57,2042,11,927,2980,20
58,2042,9,929,2980,20
59,2042,7,931,2980,20
60,2042,5,933,2980,20
61,2042,5,933,2980,20
62,2042,5,933,2980,20
63,2042,4,934,2980,20
64,2042,3,935,2980,20
65,2042,1,937,2980,20
66,2042,1,937,2980,20
67,2042,1,937,2980,20
68,2042,0,938,2980,20
69,2042,0,938,2980,20
70,2042,0,938,2980,20
71,2042,0,938,2980,20
72,2042,0,938,2980,20
73,2042,0,938,2980,20
74,2042,0,938,2980,20
75,2042,0,938,2980,20
76,2042,0,938,2980,20
77,2042,0,938,2980,20
78,2042,0,938,2980,20
79,2042,0,938,2980,20
80,2042,0,938,2980,20
