time,susceptible,infected,recovered,total,deaths,S_city1,I_city1,R_city1,S_city2,I_city2,R_city2,S_city3,I_city3,R_city3
0,2999,1,0,3000,0,999,1,0,1000,0,0,1000,0,0
1,2999,1,0,3000,0,978,1,0,1001,0,0,1020,0,0
2,2999,1,0,3000,0,980,1,0,1033,0,0,986,0,0
3,2999,1,0,3000,0,977,0,0,1038,0,0,984,1,0
4,2999,1,0,3000,0,980,0,0,1027,0,0,992,1,0
5,2998,2,0,3000,0,951,0,0,1046,0,0,1001,2,0
6,2998,2,0,3000,0,970,1,0,1021,0,0,1007,1,0
7,2998,2,0,3000,0,970,1,0,1003,0,0,1025,1,0
8,2998,1,1,3000,0,974,1,0,1001,0,0,1023,0,1
9,2998,1,1,3000,0,989,1,0,1027,0,0,982,0,1
10,2998,1,1,3000,0,1010,1,0,1013,0,1,975,0,0
11,2998,1,1,3000,0,947,0,0,1022,1,1,1029,0,0
12,2998,1,1,3000,0,965,0,0,1001,0,1,1032,1,0
13,2998,1,1,3000,0,968,0,0,991,0,1,1039,1,0
14,2998,1,1,3000,0,975,0,0,992,0,1,1031,1,0
15,2997,2,1,3000,0,990,0,0,976,0,1,1031,2,0
16,2997,2,1,3000,0,972,1,0,979,0,1,1046,1,0
17,2997,2,1,3000,0,971,1,0,973,0,1,1053,1,0
18,2997,1,2,3000,0,976,0,2,987,0,0,1034,1,0
19,2996,2,2,3000,0,1000,1,1,982,0,0,1014,1,1
20,2995,3,2,3000,0,1003,1,0,979,0,1,1013,2,1
21,2994,4,2,3000,0,978,2,0,1004,0,1,1012,2,1
22,2991,7,2,3000,0,971,3,0,1043,1,1,977,3,1
23,2986,12,2,3000,0,974,3,0,1044,4,1,968,5,1
24,2981,17,2,3000,0,964,4,0,1030,6,1,987,7,1
25,2970,28,2,3000,0,959,7,0,1059,9,1,952,12,1
26,2952,46,2,3000,0,1011,11,0,1000,11,1,941,24,1
27,2913,85,2,3000,0,1013,15,0,999,23,1,901,47,1
28,2862,135,3,3000,0,962,15,0,993,43,1,907,77,2
29,2789,208,3,3000,0,949,23,1,946,67,0,894,118,2
30,2674,323,3,3000,0,970,47,1,888,89,1,816,187,1
31,2499,498,3,3000,0,937,78,1,850,152,2,712,268,0
32,2255,741,4,3000,0,903,117,2,771,223,2,581,401,0
33,1938,1057,5,3000,0,819,183,2,664,320,2,455,554,1
34,1646,1348,6,3000,0,729,283,2,555,386,3,362,679,1
35,1362,1629,9,3000,0,637,354,4,476,492,2,249,783,3
36,1098,1888,14,3000,0,534,472,6,382,595,4,182,821,4
37,838,2143,19,3000,0,420,587,11,277,692,3,141,864,5
38,642,2329,29,3000,0,338,677,12,211,748,9,93,904,8
39,489,2464,47,3000,0,239,760,14,174,796,14,76,908,19
40,400,2514,86,3000,0,189,800,25,140,810,29,71,904,32
41,317,2548,132,2997,3,150,820,37,109,824,51,58,904,44
42,273,2523,200,2996,4,114,826,65,97,818,66,62,879,69
43,235,2451,306,2992,8,95,793,93,91,813,104,49,845,109
44,196,2320,473,2989,11,80,745,141,78,771,155,38,804,177
45,179,2100,705,2984,16,69,672,230,63,697,239,47,731,236
46,159,1812,1007,2978,22,64,582,324,57,582,331,38,648,352
47,146,1535,1290,2971,29,53,466,414,53,520,432,40,549,444
48,137,1270,1560,2967,33,48,379,510,57,436,516,32,455,534
49,134,1017,1810,2961,39,48,298,581,53,347,602,33,372,627
50,130,773,2055,2958,42,45,236,651,41,269,701,44,268,703
51,126,587,2241,2954,46,43,182,742,40,214,755,43,191,744
52,122,443,2388,2953,47,37,151,795,40,152,804,45,140,789
53,119,367,2465,2951,49,31,132,832,47,118,840,41,117,793
54,116,290,2542,2948,52,36,100,906,48,97,823,32,93,813
55,113,251,2584,2948,52,36,76,915,40,76,849,37,99,820
56,112,215,2619,2946,54,43,62,906,35,74,859,34,79,854
57,111,172,2662,2945,55,34,47,899,43,61,897,34,64,866
58,111,152,2681,2944,56,37,41,912,40,60,914,34,51,855
59,110,125,2708,2943,57,40,38,901,41,46,919,29,41,888
60,108,115,2720,2943,57,40,39,887,33,41,926,35,35,907
61,108,96,2739,2943,57,37,35,925,37,34,924,34,27,890
62,108,87,2747,2942,58,35,33,939,36,33,900,37,21,908
63,108,72,2762,2942,58,38,30,932,33,20,934,37,22,896
64,108,62,2772,2942,58,35,29,962,31,10,903,42,23,907
65,108,53,2781,2942,58,34,28,973,31,9,894,43,16,914
66,106,42,2793,2941,59,31,20,943,32,9,915,43,13,935
67,105,35,2801,2941,59,36,15,933,29,9,962,40,11,906
68,105,27,2808,2940,60,30,12,940,38,6,962,37,9,906
69,105,20,2815,2940,60,38,6,956,40,7,946,27,7,913
70,105,19,2816,2940,60,38,5,970,38,8,921,29,6,925
71,105,16,2819,2940,60,40,4,950,30,4,915,35,8,954
72,105,17,2817,2939,61,38,9,954,31,1,934,36,7,929
73,105,13,2820,2938,62,34,6,974,33,2,919,38,5,927
74,104,14,2820,2938,62,34,7,972,38,4,930,32,3,918
75,104,12,2822,2938,62,34,5,997,32,2,914,38,5,911
76,104,11,2823,2938,62,33,6,960,31,1,916,40,4,947
77,104,11,2823,2938,62,31,5,963,35,1,918,38,5,942
78,104,12,2822,2938,62,28,3,941,39,3,944,37,6,937
79,104,10,2824,2938,62,35,2,945,32,3,947,37,5,932
80,104,9,2825,2938,62,34,0,968,29,4,948,41,5,909
