n_steps,Is,infection_period,detection_time,beta_det,reinfection_probability,Ns,peak_value,peak_time,death_rate,beta_und,migration_intensity,seed,C
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.27166666666666667,25,0.02,0.5,0.0,1,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.2806666666666667,22,0.02,0.5,0.0,2,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.27666666666666667,26,0.02,0.5,0.0,3,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.0003333333333333333,0,0.02,0.5,0.0,4,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.2776666666666667,23,0.02,0.5,0.0,5,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.275,27,0.02,0.5,0.0,6,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.27466666666666667,21,0.02,0.5,0.0,7,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.277,33,0.02,0.5,0.0,8,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.788,29,0.02,0.5,0.05,1,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.7986666666666666,27,0.02,0.5,0.05,2,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.775,30,0.02,0.5,0.05,3,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.0003333333333333333,0,0.02,0.5,0.05,4,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.7976666666666666,28,0.02,0.5,0.05,5,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.0003333333333333333,0,0.02,0.5,0.05,6,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8023333333333333,24,0.02,0.5,0.05,7,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.7623333333333333,32,0.02,0.5,0.05,8,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8183333333333334,26,0.02,0.5,0.1,1,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.801,27,0.02,0.5,0.1,2,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.7976666666666666,28,0.02,0.5,0.1,3,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.0003333333333333333,0,0.02,0.5,0.1,4,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8146666666666667,26,0.02,0.5,0.1,5,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8133333333333334,28,0.02,0.5,0.1,6,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.812,24,0.02,0.5,0.1,7,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8006666666666666,30,0.02,0.5,0.1,8,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.82,31,0.02,0.5,0.2,1,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8146666666666667,29,0.02,0.5,0.2,2,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8076666666666666,35,0.02,0.5,0.2,3,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8093333333333333,28,0.02,0.5,0.2,4,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.829,25,0.02,0.5,0.2,5,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8103333333333333,26,0.02,0.5,0.2,6,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.0003333333333333333,0,0.02,0.5,0.2,7,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8303333333333334,39,0.02,0.5,0.2,8,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.0003333333333333333,0,0.02,0.5,0.3,1,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8336666666666667,25,0.02,0.5,0.3,2,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.823,32,0.02,0.5,0.3,3,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8253333333333334,27,0.02,0.5,0.3,4,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.825,25,0.02,0.5,0.3,5,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8303333333333334,26,0.02,0.5,0.3,6,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8253333333333334,31,0.02,0.5,0.3,7,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.0003333333333333333,0,0.02,0.5,0.3,8,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8126666666666666,33,0.02,0.5,0.4,1,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8143333333333334,27,0.02,0.5,0.4,2,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8246666666666667,31,0.02,0.5,0.4,3,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.0003333333333333333,0,0.02,0.5,0.4,4,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8356666666666667,27,0.02,0.5,0.4,5,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8003333333333333,26,0.02,0.5,0.4,6,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.819,26,0.02,0.5,0.4,7,3
80,"[1, 0, 0]",14,7,0.05,0.1,"[1000, 1000, 1000]",0.8236666666666667,28,0.02,0.5,0.4,8,3
