time,susceptible,infected,recovered,total,deaths
0,2999,1,0,3000,0
1,2998,2,0,3000,0
2,2997,3,0,3000,0
3,2995,5,0,3000,0
4,2992,8,0,3000,0
5,2988,12,0,3000,0
6,2985,15,0,3000,0
7,2979,21,0,3000,0
8,2964,35,1,3000,0
9,2944,55,1,3000,0
10,2918,81,1,3000,0
11,2878,121,1,3000,0
12,2820,179,1,3000,0
13,2743,257,0,3000,0
14,2667,332,1,3000,0
15,2536,462,2,3000,0
16,2379,617,4,3000,0
17,2166,828,6,3000,0
18,1939,1051,10,3000,0
19,1653,1334,13,3000,0
20,1370,1611,19,3000,0
21,1094,1872,33,2999,1
22,835,2111,53,2999,1
23,649,2272,77,2998,2
24,517,2367,113,2997,3
25,402,2427,167,2996,4
26,315,2439,240,2994,6
27,252,2427,313,2992,8
28,212,2339,439,2990,10
29,185,2216,585,2986,14
30,162,2029,790,2981,19
31,152,1821,1004,2977,23
32,138,1557,1278,2973,27
33,129,1292,1546,2967,33
34,123,1030,1810,2963,37
35,118,788,2051,2957,43
36,117,609,2227,2953,47
37,117,478,2357,2952,48
38,114,365,2473,2952,48
39,114,282,2552,2948,52
40,113,224,2611,2948,52
41,113,183,2650,2946,54
42,110,155,2681,2946,54
43,109,133,2703,2945,55
44,108,116,2721,2945,55
45,108,98,2739,2945,55
46,108,81,2756,2945,55
47,108,70,2767,2945,55
48,108,53,2784,2945,55
49,107,46,2792,2945,55
50,107,42,2796,2945,55
51,107,37,2801,2945,55
52,107,30,2808,2945,55
53,106,26,2813,2945,55
54,106,25,2814,2945,55
55,106,19,2820,2945,55
56,106,14,2825,2945,55
57,106,12,2827,2945,55
58,106,9,2830,2945,55
59,106,8,2831,2945,55
60,106,5,2834,2945,55
61,106,5,2834,2945,55
62,106,4,2835,2945,55
63,106,4,2835,2945,55
64,106,4,2835,2945,55
65,106,4,2835,2945,55
66,106,2,2837,2945,55
67,106,1,2838,2945,55
68,106,1,2838,2945,55
69,106,1,2838,2945,55
70,106,1,2838,2945,55
71,106,0,2839,2945,55
72,106,0,2839,2945,55
73,106,0,2839,2945,55
74,106,0,2839,2945,55
75,106,0,2839,2945,55
76,106,0,2839,2945,55
77,106,0,2839,2945,55
78,106,0,2839,2945,55
79,106,0,2839,2945,55
80,106,0,2839,2945,55
