n_steps,final_rec,Ns,death_rate,Is,beta,infection_period,final_inf,detection_time,deaths,peak,reinfection_probability,seed
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.1,14,0.0,7,0,0.0003333333333333333,0.1,1
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.1,14,0.0,7,0,0.0003333333333333333,0.1,2
80,0.0006666666666666666,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.1,14,0.0,7,0,0.0006666666666666666,0.1,3
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.1,14,0.0,7,0,0.0003333333333333333,0.1,4
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.1,14,0.0,7,0,0.0003333333333333333,0.1,5
80,0.0013333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.1,14,0.0,7,0,0.001,0.1,6
80,0.0013333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.1,14,0.0,7,0,0.0013333333333333333,0.1,7
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.1,14,0.0,7,0,0.0003333333333333333,0.1,8
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.2,14,0.0,7,0,0.0003333333333333333,0.1,1
80,0.004333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.2,14,0.0,7,1,0.0026666666666666666,0.1,2
80,0.0006666666666666666,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.2,14,0.0,7,0,0.0006666666666666666,0.1,3
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.2,14,0.0,7,0,0.0003333333333333333,0.1,4
80,0.143,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.2,14,0.017333333333333333,7,6,0.03666666666666667,0.1,5
80,0.0013333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.2,14,0.0,7,0,0.001,0.1,6
80,0.173,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.2,14,0.0016666666666666668,7,15,0.08266666666666667,0.1,7
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.2,14,0.0,7,0,0.0003333333333333333,0.1,8
80,0.2673333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.3,14,0.0006666666666666666,7,16,0.15566666666666668,0.1,1
80,0.2703333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.3,14,0.0006666666666666666,7,13,0.16166666666666665,0.1,2
80,0.252,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.3,14,0.0033333333333333335,7,19,0.147,0.1,3
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.3,14,0.0,7,0,0.0003333333333333333,0.1,4
80,0.26766666666666666,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.3,14,0.001,7,15,0.15166666666666667,0.1,5
80,0.26866666666666666,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.3,14,0.0003333333333333333,7,17,0.158,0.1,6
80,0.278,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.3,14,0.0,7,18,0.175,0.1,7
80,0.2623333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.3,14,0.003,7,15,0.133,0.1,8
80,0.30133333333333334,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.4,14,0.0,7,17,0.221,0.1,1
80,0.305,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.4,14,0.0,7,18,0.23666666666666666,0.1,2
80,0.30633333333333335,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.4,14,0.0,7,15,0.22933333333333333,0.1,3
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.4,14,0.0,7,0,0.0003333333333333333,0.1,4
80,0.301,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.4,14,0.0,7,20,0.22766666666666666,0.1,5
80,0.30033333333333334,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.4,14,0.0003333333333333333,7,21,0.22966666666666666,0.1,6
80,0.2976666666666667,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.4,14,0.0,7,21,0.23733333333333334,0.1,7
80,0.30033333333333334,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.4,14,0.0003333333333333333,7,19,0.23566666666666666,0.1,8
80,0.30966666666666665,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.5,14,0.0,7,26,0.27166666666666667,0.1,1
80,0.315,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.5,14,0.0,7,19,0.2806666666666667,0.1,2
80,0.316,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.5,14,0.0,7,19,0.27666666666666667,0.1,3
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.5,14,0.0,7,0,0.0003333333333333333,0.1,4
80,0.31833333333333336,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.5,14,0.0,7,17,0.2776666666666667,0.1,5
80,0.313,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.5,14,0.0,7,28,0.275,0.1,6
80,0.31133333333333335,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.5,14,0.0,7,28,0.27466666666666667,0.1,7
80,0.309,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.5,14,0.0,7,29,0.277,0.1,8
80,0.31966666666666665,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.6,14,0.0,7,19,0.3016666666666667,0.1,1
80,0.32166666666666666,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.6,14,0.0,7,18,0.302,0.1,2
80,0.323,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.6,14,0.0,7,14,0.2976666666666667,0.1,3
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.6,14,0.0,7,0,0.0003333333333333333,0.1,4
80,0.32233333333333336,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.6,14,0.0,7,21,0.303,0.1,5
80,0.32266666666666666,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.6,14,0.0,7,17,0.298,0.1,6
80,0.32033333333333336,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.6,14,0.0,7,23,0.297,0.1,7
80,0.323,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.6,14,0.0,7,20,0.3006666666666667,0.1,8
80,0.32033333333333336,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.7,14,0.0,7,20,0.30866666666666664,0.1,1
80,0.3263333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.7,14,0.0,7,12,0.31833333333333336,0.1,2
80,0.32033333333333336,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.7,14,0.0,7,29,0.31266666666666665,0.1,3
80,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.7,14,0.0,7,0,0.0003333333333333333,0.1,4
80,0.3253333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.7,14,0.0,7,17,0.31366666666666665,0.1,5
80,0.3233333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.7,14,0.0,7,22,0.31133333333333335,0.1,6
80,0.322,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.7,14,0.0,7,25,0.30966666666666665,0.1,7
80,0.323,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.7,14,0.0,7,21,0.31366666666666665,0.1,8
80,0.326,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.8,14,0.0,7,17,0.31866666666666665,0.1,1
80,0.3243333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.8,14,0.0,7,19,0.32066666666666666,0.1,2
80,0.3263333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.8,14,0.0,7,19,0.32466666666666666,0.1,3
80,0.3243333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.8,14,0.0,7,24,0.321,0.1,4
80,0.32266666666666666,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.8,14,0.0,7,28,0.32466666666666666,0.1,5
80,0.32233333333333336,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.8,14,0.0,7,28,0.321,0.1,6
80,0.3253333333333333,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.8,14,0.0,7,20,0.32033333333333336,0.1,7
80,0.32566666666666666,"[1000, 1000, 1000]",0.02,"[1, 0, 0]",0.8,14,0.0,7,20,0.32,0.1,8
