network,N,tmax,seed,deadlock,events,final_hungry,final_eat
classic,3,30.0,123,true,6,3.0,0.0
arbiter,3,30.0,123,false,51,2.0,0.0
classic,3,30.0,124,true,6,3.0,0.0
arbiter,3,30.0,124,false,57,2.0,0.0
classic,3,30.0,125,true,3,3.0,0.0
arbiter,3,30.0,125,false,45,2.0,0.0
classic,3,50.0,123,true,6,3.0,0.0
arbiter,3,50.0,123,false,82,1.0,1.0
classic,3,50.0,124,true,6,3.0,0.0
arbiter,3,50.0,124,false,77,1.0,0.0
classic,3,50.0,125,true,3,3.0,0.0
arbiter,3,50.0,125,false,85,1.0,1.0
classic,3,80.0,123,true,6,3.0,0.0
arbiter,3,80.0,123,false,132,2.0,0.0
classic,3,80.0,124,true,6,3.0,0.0
arbiter,3,80.0,124,false,119,1.0,0.0
classic,3,80.0,125,true,3,3.0,0.0
arbiter,3,80.0,125,false,120,2.0,0.0
classic,5,30.0,123,true,20,5.0,0.0
arbiter,5,30.0,123,false,75,3.0,1.0
classic,5,30.0,124,true,8,5.0,0.0
arbiter,5,30.0,124,false,63,3.0,1.0
classic,5,30.0,125,true,14,5.0,0.0
arbiter,5,30.0,125,false,62,4.0,0.0
classic,5,50.0,123,true,20,5.0,0.0
arbiter,5,50.0,123,false,105,3.0,1.0
classic,5,50.0,124,true,8,5.0,0.0
arbiter,5,50.0,124,false,89,4.0,0.0
classic,5,50.0,125,true,14,5.0,0.0
arbiter,5,50.0,125,false,89,4.0,0.0
classic,5,80.0,123,true,20,5.0,0.0
arbiter,5,80.0,123,false,153,3.0,1.0
classic,5,80.0,124,true,8,5.0,0.0
arbiter,5,80.0,124,false,124,3.0,0.0
classic,5,80.0,125,true,14,5.0,0.0
arbiter,5,80.0,125,false,137,4.0,0.0
classic,7,30.0,123,true,40,7.0,0.0
arbiter,7,30.0,123,false,62,5.0,1.0
classic,7,30.0,124,true,31,7.0,0.0
arbiter,7,30.0,124,false,62,5.0,1.0
classic,7,30.0,125,true,22,7.0,0.0
arbiter,7,30.0,125,false,63,5.0,0.0
classic,7,50.0,123,true,40,7.0,0.0
arbiter,7,50.0,123,false,91,6.0,0.0
classic,7,50.0,124,true,31,7.0,0.0
arbiter,7,50.0,124,false,88,6.0,0.0
classic,7,50.0,125,true,22,7.0,0.0
arbiter,7,50.0,125,false,89,5.0,1.0
classic,7,80.0,123,true,40,7.0,0.0
arbiter,7,80.0,123,false,136,4.0,1.0
classic,7,80.0,124,true,31,7.0,0.0
arbiter,7,80.0,124,false,126,5.0,0.0
classic,7,80.0,125,true,22,7.0,0.0
arbiter,7,80.0,125,false,138,3.0,1.0
