lambda,mu,c,warmup_customers,rho,analytic_wq,sim_wq,analytic_w,sim_w,sim_utilization,sim_pwait
0.3,0.5,1,300,0.6,3.0,3.078301573850101,5.0,5.067285130107731,0.5793275549866709,0.5863333333333334
0.3,0.5,2,300,0.3,0.19780219780219782,0.19409519507688147,2.197802197802198,2.1725274601192064,0.2938453303508967,0.13233333333333333
0.3,0.5,3,300,0.19999999999999998,0.02054794520547945,0.020848805728512953,2.0205479452054793,2.0536532993904237,0.20431326124238433,0.027333333333333334
0.3,0.5,4,300,0.15,0.002050658869099609,0.0019363921402614154,2.0020506588691,1.9352140758066343,0.14542355970208767,0.0036666666666666666
0.3,0.5,5,300,0.12,0.00018369138033867246,0.00013039090289432216,2.0001836913803386,2.0338983130165205,0.12293973622152654,0.0003333333333333333
0.3,0.5,6,300,0.09999999999999999,1.4634967327435437e-5,0.0,2.0000146349673273,1.9726420316288966,0.0973981999966968,0.0
0.6,0.5,1,300,1.2,Inf,333.8563979208102,Inf,335.7964697304269,0.9986489706458712,0.9973333333333333
0.6,0.5,2,300,0.6,1.1249999999999998,1.248184432185247,3.125,3.287323120163695,0.6095463164103943,0.468
0.6,0.5,3,300,0.39999999999999997,0.15686274509803916,0.15906439159384098,2.156862745098039,2.215847190465894,0.4104487235800252,0.13966666666666666
0.6,0.5,4,300,0.3,0.026464101935800052,0.022705457594096205,2.0264641019358,2.0774791423647416,0.3013396820162328,0.03666666666666667
0.6,0.5,5,300,0.24,0.004323141482810841,0.00176863133275893,2.0043231414828107,1.9511852449306752,0.23622081845003456,0.004
0.6,0.5,6,300,0.19999999999999998,0.000650539707016191,0.00032564317142146136,2.0006505397070162,2.0280488299192183,0.20160090649471005,0.0006666666666666666
0.9,0.5,1,300,1.8,Inf,1422.2762425106591,Inf,1424.212836112489,1.0,0.9993333333333333
0.9,0.5,2,300,0.9,8.526315789473689,4.278539036893831,10.526315789473689,6.226670525252611,0.8591216981101367,0.789
0.9,0.5,3,300,0.6,0.5912408759124087,0.6495688634679853,2.591240875912409,2.646156649460196,0.5917718259181427,0.361
0.9,0.5,4,300,0.45,0.11684876980204631,0.14019473871114235,2.116848769802046,2.206508317137702,0.47275424538369576,0.172
0.9,0.5,5,300,0.36,0.02531067721460389,0.0203180780026471,2.0253106772146037,2.007031246736735,0.353851289065096,0.037
0.9,0.5,6,300,0.3,0.005307839452081465,0.013659989340970397,2.0053078394520814,2.0025549851365794,0.30191492506884027,0.018666666666666668
