run_id,peak_I,peak_time,final_R,final_fraction,extinct
1,172,16.729971491067808,781,0.781,false
2,193,18.326763025546835,814,0.814,false
3,172,17.01322497335029,774,0.774,false
4,169,18.526083551766643,762,0.762,false
5,158,24.26406847071288,742,0.742,false
6,175,20.636833879005216,772,0.772,false
7,195,12.071912641615606,818,0.818,false
8,161,20.35489320453449,764,0.764,false
9,145,16.212321749993084,737,0.737,false
10,177,18.057835083325024,785,0.785,false
11,170,20.674190730685172,733,0.733,false
12,176,16.117172444147595,800,0.8,false
13,173,16.524594934764618,781,0.781,false
14,173,23.288824822859723,761,0.761,false
15,152,17.808635690589522,750,0.75,false
16,163,19.231059711266642,736,0.736,false
17,215,15.630567489727428,841,0.841,false
18,150,16.518355088883776,743,0.743,false
19,152,21.590581742671972,776,0.776,false
20,162,21.894248585076756,777,0.777,false
21,186,15.693265458662893,756,0.756,false
22,133,26.63985670296055,724,0.724,false
23,217,18.79717923992698,796,0.796,false
24,190,20.363031861524547,789,0.789,false
