beta,c,gamma,r0,runs,mean_peak_I,std_peak_I,mean_peak_time,mean_final_fraction,analytic_final_fraction
0.03,6.0,0.2,0.8999999999999999,6,18.333333333333332,5.819507424745384,15.231639364306423,0.06933333333333334,0.0
0.03,6.0,0.25,0.72,6,11.666666666666666,1.632993161855452,3.0939626322171705,0.030833333333333334,0.0
0.03,6.0,0.33,0.5454545454545454,6,11.333333333333334,1.2110601416389968,0.3733001715057896,0.030333333333333337,0.0
0.03,10.0,0.2,1.4999999999999998,6,78.16666666666667,24.29334613976977,26.384736314086393,0.3698333333333333,0.5828116438658111
0.03,10.0,0.25,1.2,6,37.333333333333336,14.78738200854589,25.965420011069472,0.19883333333333333,0.313698331041218
0.03,10.0,0.33,0.9090909090909091,6,14.0,5.477225575051661,5.405889844578973,0.05183333333333334,0.0
0.03,14.0,0.2,2.0999999999999996,6,189.0,19.266551326067674,20.652592141820296,0.7483333333333334,0.8220648682056836
0.03,14.0,0.25,1.68,6,105.16666666666667,6.853223086013373,24.355662594297115,0.5903333333333333,0.6820383001999666
0.03,14.0,0.33,1.2727272727272727,6,47.0,26.43482551483932,29.19528656365354,0.31916666666666665,0.39552627952475705
0.05,6.0,0.2,1.5000000000000002,6,72.16666666666667,25.23819856223234,30.022135473287587,0.3021666666666667,0.5828116438658113
0.05,6.0,0.25,1.2000000000000002,6,37.666666666666664,11.093541664710449,23.968889846966647,0.21566666666666667,0.31369833104121825
0.05,6.0,0.33,0.9090909090909092,6,12.833333333333334,3.2506409624359724,1.9572866545878334,0.041333333333333326,0.0
0.05,10.0,0.2,2.5,6,244.5,25.493136331177457,16.09053091579416,0.8610000000000001,0.8926447536092091
0.05,10.0,0.25,2.0,6,192.33333333333334,20.51016008388688,14.92858169995145,0.7925,0.7968121300200199
0.05,10.0,0.33,1.5151515151515151,6,92.16666666666667,33.09028054681112,21.272342797431502,0.5326666666666667,0.5925137679555545
0.05,14.0,0.2,3.5,6,388.5,11.077003204838391,11.484620591817075,0.9631666666666665,0.9659847615638193
0.05,14.0,0.25,2.8000000000000003,6,279.8333333333333,24.85491232466264,12.205490758048692,0.9205,0.9249746307618676
0.05,14.0,0.33,2.121212121212121,6,184.16666666666666,22.938323100581407,12.454634813987132,0.831,0.8269395153872029
0.07,6.0,0.2,2.1,6,187.83333333333334,34.41753429092018,22.850221655136995,0.7068333333333333,0.8220648682056837
0.07,6.0,0.25,1.6800000000000002,6,106.83333333333333,17.30221565773201,23.45196529838681,0.5611666666666667,0.6820383001999668
0.07,6.0,0.33,1.2727272727272727,6,48.666666666666664,14.787382008545888,23.65029709972529,0.3143333333333333,0.39552627952475705
0.07,10.0,0.2,3.5,6,373.8333333333333,22.631099546126052,11.030520369279174,0.9673333333333334,0.9659847615638193
0.07,10.0,0.25,2.8000000000000003,6,292.5,12.324771803161306,11.897322370313622,0.9286666666666666,0.9249746307618676
0.07,10.0,0.33,2.121212121212121,6,199.33333333333334,31.65227743254293,12.178613288396447,0.8258333333333333,0.8269395153872029
0.07,14.0,0.2,4.9,6,480.1666666666667,23.310226654124723,8.022174852268014,0.9914999999999999,0.9922657935183364
0.07,14.0,0.25,3.9200000000000004,6,407.8333333333333,20.419761670173006,8.297862424447617,0.9788333333333332,0.978406276940156
0.07,14.0,0.33,2.9696969696969697,6,320.6666666666667,38.74360162228941,7.953478067715152,0.941,0.9383751317986039
